index,x[mm],y[mm],z[mm],Ux[mm],Uy[mm],Uz[mm],Fx[N],Fy[N],Fz[N]
594,-62.818785,28.283185,-27.500532,-0.307685,0.044885,-0.682032,-0.000000,-0.000000,0.000000
595,-18.115000,-17.912070,1.315090,-1.730800,2.007530,21.875390,0.000000,-0.000000,0.000000
596,-44.573614,-15.902215,-2.205834,-1.699214,1.866685,24.612666,-0.000000,-0.000000,-0.000000
597,-38.847257,-11.247466,-2.157028,-2.028257,1.766934,24.661472,-0.000000,-0.000000,-0.000000
598,-44.803572,-16.830017,-2.183069,-1.615272,1.853183,24.635431,0.000000,0.000000,0.000000
599,-41.319751,-8.050191,-1.884908,-2.134951,1.930529,24.933592,0.000000,0.000000,-0.000000
600,-44.441329,-7.160309,-2.302175,-1.740229,2.016721,24.516325,-0.000000,0.000000,-0.000000
601,-27.169769,-0.193832,13.130361,0.430031,2.724288,22.984861,-0.000000,-0.000000,0.000000
602,-32.974230,2.982986,35.018459,4.771370,3.724264,25.195319,0.000000,0.000000,-0.000000
603,-69.368600,-10.243600,-26.818500,0.000000,0.000000,0.000000,-8.887674,0.020636,-21.354286
604,-68.349108,-12.669904,-25.290386,0.282592,0.128996,1.528114,-0.000000,-0.000000,-0.000000
605,21.254064,3.849148,-0.715019,-0.185336,2.218778,12.892081,-0.000000,0.000000,0.000000
606,21.516335,-16.703973,2.725227,0.135435,2.349427,14.218227,0.000000,0.000000,0.000000
607,-35.348171,1.458030,39.957055,5.696329,3.889720,26.035055,0.000000,0.000000,-0.000000
608,-37.982423,-0.554550,29.400970,3.332877,3.476530,26.070200,0.000000,0.000000,0.000000
609,0.134075,-4.509439,4.428385,-0.160726,2.336641,17.701785,-0.000000,0.000000,-0.000000
610,26.838423,-5.988709,-15.033692,-2.896977,1.342581,11.784808,0.000000,-0.000000,-0.000000
611,54.797006,-6.422117,-20.933305,-2.928194,0.720513,5.885195,-0.000000,-0.000000,-0.000000
612,13.708404,-2.821241,11.453368,1.745104,2.883809,15.267588,-0.000000,0.000000,-0.000000
613,-28.799789,-13.864156,-3.347075,-2.527989,1.694644,23.471425,-0.000000,0.000000,0.000000
614,-1.710844,6.075138,-2.325407,-1.382885,1.958098,17.166593,0.000000,-0.000000,0.000000
615,26.747299,1.739201,-15.509117,-2.854301,1.340160,11.309383,0.000000,-0.000000,-0.000000
616,60.604898,-4.152744,-22.487363,-2.792002,0.417296,4.331137,-0.000000,-0.000000,-0.000000
617,-3.910997,1.240600,-9.252173,-2.820357,1.506323,17.566327,-0.000000,-0.000000,0.000000
618,16.344669,5.411665,-13.605220,-2.835131,1.404835,13.213280,-0.000000,-0.000000,-0.000000
619,13.933725,10.710790,-13.444545,-2.816975,1.418090,13.373955,-0.000000,-0.000000,-0.000000
620,20.574540,-13.438204,-13.298118,-2.931060,1.372696,13.520382,-0.000000,-0.000000,0.000000
621,-21.028347,1.023364,-5.784432,-2.723847,1.524127,21.034068,-0.000000,-0.000000,-0.000000
622,-30.732827,-6.299729,20.841350,1.720773,3.094321,24.340710,0.000000,-0.000000,-0.000000
623,18.564450,-17.300598,-5.605438,-1.591350,1.815002,14.471862,0.000000,0.000000,0.000000
624,42.005179,-5.892524,-3.705001,-0.091121,2.183716,9.314699,0.000000,0.000000,-0.000000
625,8.580836,-13.246799,-10.885173,-2.921164,1.429001,15.933327,0.000000,-0.000000,-0.000000
626,-13.954349,-6.835559,12.017432,0.690251,2.664811,20.803992,0.000000,0.000000,0.000000
