index,x[mm],y[mm],z[mm],Ux[mm],Uy[mm],Uz[mm],Fx[N],Fy[N],Fz[N]
628,-0.415387,-3.673851,-3.366398,3.521443,-0.072181,-0.228958,-0.000000,-0.000000,0.000000
629,7.417638,9.989248,-0.328494,7.560679,1.739688,-4.742654,-0.000000,0.000000,0.000000
630,0.174116,5.696591,-3.206858,5.342006,0.539921,-2.073518,0.000000,0.000000,0.000000
631,6.735968,9.075504,0.847499,7.646298,1.981094,-4.123761,0.000000,-0.000000,-0.000000
632,8.984693,-4.580361,-5.330346,3.808693,-1.036831,-2.880886,0.000000,0.000000,0.000000
633,6.087305,3.465374,-8.336684,4.272295,-1.110276,-4.255394,0.000000,0.000000,-0.000000
634,9.058245,6.588597,-3.915097,6.250615,0.479767,-5.084437,-0.000000,-0.000000,0.000000
635,6.073501,0.120976,-4.719135,4.558251,-0.398051,-2.901625,0.000000,-0.000000,-0.000000
636,17.691658,10.147164,-4.080196,8.719288,2.706054,-8.844236,-0.000000,0.000000,-0.000000
637,3.219854,7.049968,-7.274719,4.849294,-0.485242,-4.004969,-0.000000,-0.000000,-0.000000
638,-2.690927,9.529757,1.743284,6.958353,2.238387,-1.183686,-0.000000,0.000000,0.000000
639,1.745228,-2.833268,-4.378186,3.685048,-0.428728,-1.022656,-0.000000,-0.000000,-0.000000
640,5.323820,9.881810,-1.902625,6.917520,1.268660,-4.353835,-0.000000,0.000000,0.000000
641,3.632228,-2.379745,-2.919960,4.281022,-0.096105,-1.465500,0.000000,-0.000000,-0.000000
642,1.560997,-1.126419,-3.121819,4.286577,0.020941,-1.102239,-0.000000,-0.000000,-0.000000
643,10.078182,5.850890,-4.681977,6.027652,0.250800,-5.352641,0.000000,0.000000,0.000000
644,3.623027,2.268344,-5.691342,4.480192,-0.442346,-2.791032,-0.000000,0.000000,0.000000
645,7.785044,10.541288,-1.711174,7.330591,1.408258,-5.220524,-0.000000,0.000000,-0.000000
646,7.700010,8.992612,-4.344536,6.387760,0.541402,-5.305276,-0.000000,-0.000000,-0.000000
647,9.660024,7.604673,-5.760230,5.994534,0.061093,-5.852841,-0.000000,0.000000,-0.000000
648,6.150694,8.073811,-1.112842,6.914401,1.339831,-4.061202,0.000000,0.000000,-0.000000
649,7.070335,5.121718,-3.113135,5.994785,0.523478,-4.010264,0.000000,0.000000,0.000000
650,7.517645,5.504176,-7.976875,4.845345,-0.817244,-5.108055,-0.000000,-0.000000,-0.000000
651,10.347640,5.289633,-6.361678,5.503310,-0.353547,-5.630592,0.000000,-0.000000,-0.000000
652,5.669241,4.620806,-5.543936,5.132318,-0.215984,-3.900016,-0.000000,-0.000000,0.000000
653,-2.594325,-8.715137,-2.614805,1.747855,0.043313,0.367025,0.000000,0.000000,-0.000000
654,-2.723872,-9.808175,-2.257754,1.367558,-0.063125,0.307086,-0.000000,-0.000000,0.000000
655,4.707370,-2.466264,-5.647682,3.731697,-0.833654,-2.137592,-0.000000,-0.000000,0.000000
656,3.385823,8.239643,-5.033422,5.640803,0.244013,-3.929802,0.000000,0.000000,0.000000
657,6.898608,6.728577,-1.499046,6.671722,1.123987,-4.053286,0.000000,0.000000,-0.000000
658,-1.821379,7.601097,0.585857,6.423481,1.752927,-1.229173,-0.000000,-0.000000,0.000000
659,6.092351,-2.086344,-3.818528,4.336071,-0.342414,-2.347938,0.000000,-0.000000,0.000000
660,8.558670,5.063909,-3.381721,6.085240,0.490929,-4.482881,0.000000,-0.000000,0.000000
661,5.284175,1.313748,-6.629209,4.236605,-0.819742,-3.220329,0.000000,-0.000000,0.000000
662,8.907133,-8.533308,-5.433768,3.088943,-1.375818,-2.058468,-0.000000,-0.000000,0.000000
663,9.647790,-8.750586,-4.966081,3.222600,-1.290286,-2.156171,-0.000000,-0.000000,0.000000
664,9.265006,-8.768877,-5.298995,3.110216,-1.369367,-2.091785,-0.000000,-0.000000,-0.000000
665,8.944530,-9.467482,-4.564586,3.125450,-1.217592,-1.751076,-0.000000,-0.000000,0.000000
666,4.811734,0.900243,-2.832455,5.041895,0.200023,-2.402375,-0.000000,0.000000,-0.000000
667,5.195201,9.367188,-4.882289,6.053768,0.390158,-4.712930,-0.000000,-0.000000,0.000000
668,8.864136,-8.138473,-3.741082,3.535666,-0.888263,-1.884802,0.000000,0.000000,0.000000
669,12.355411,5.738259,-3.503625,6.681591,0.962069,-5.680535,-0.000000,0.000000,-0.000000
670,5.965726,6.683288,-2.280038,6.360062,0.882868,-3.893238,0.000000,-0.000000,-0.000000
671,-0.716669,6.296205,-1.719038,5.728501,1.001165,-1.677915,0.000000,0.000000,0.000000
672,6.037579,9.575531,-7.201762,5.579508,-0.236139,-5.427562,-0.000000,0.000000,-0.000000
673,4.708611,-2.085026,-2.733661,4.461120,-0.021656,-1.789730,-0.000000,0.000000,0.000000
674,9.024054,-5.271072,-3.646837,4.070994,-0.639952,-2.508597,0.000000,-0.000000,-0.000000
675,7.820811,-5.240804,-5.124027,3.634551,-0.999124,-2.384757,-0.000000,-0.000000,-0.000000
676,6.969554,8.608866,-8.245178,5.247704,-0.604804,-5.685318,0.000000,-0.000000,0.000000
677,2.740370,0.815647,-6.403575,3.973040,-0.738133,-2.338095,-0.000000,-0.000000,-0.000000
678,2.618349,1.386635,-4.137923,4.607589,-0.067905,-2.043973,0.000000,0.000000,0.000000
679,6.098952,9.285867,-0.293427,7.317912,1.673067,-4.176577,0.000000,0.000000,0.000000
680,9.747927,6.869922,-4.869383,6.114157,0.259902,-5.528768,0.000000,-0.000000,-0.000000
681,5.300189,7.889230,-2.647413,6.394599,0.882880,-4.023713,-0.000000,0.000000,-0.000000
682,6.874990,2.445136,-6.612508,4.594530,-0.733014,-3.945428,-0.000000,0.000000,0.000000
683,1.753555,6.185913,-5.585871,4.983705,-0.087827,-3.070651,0.000000,0.000000,0.000000
684,-1.200228,-5.896648,-2.094074,3.109872,0.185032,0.191076,0.000000,0.000000,0.000000
685,4.243861,3.045010,-7.520329,4.225460,-0.896930,-3.459329,-0.000000,0.000000,0.000000
686,7.055611,8.001010,0.153520,7.325432,1.700650,-4.099200,-0.000000,0.000000,0.000000
687,15.360626,7.160908,-3.977460,7.326756,1.465528,-7.066480,-0.000000,0.000000,0.000000
688,6.315333,10.618287,-4.780581,6.400610,0.537687,-5.322085,0.000000,-0.000000,-0.000000
689,2.546057,-1.925466,-3.524801,4.121837,-0.171276,-1.300581,0.000000,-0.000000,0.000000
690,10.389908,6.550717,-6.289875,5.762518,-0.168563,-5.931789,0.000000,-0.000000,0.000000
691,6.991082,-3.311300,-3.819854,4.194922,-0.469260,-2.361044,-0.000000,0.000000,-0.000000
692,5.221673,7.596191,-4.532027,5.853359,0.333231,-4.258985,-0.000000,-0.000000,0.000000
693,6.935791,3.791772,-2.628664,5.863221,0.533492,-3.607846,-0.000000,0.000000,-0.000000
